AREAP;cor;value
1100015001001;branca;0.42427845195145947
1100023003001;branca;0.5177970177970178
1100023003002;branca;0.33337214718211455
1100023003003;branca;0.30864550226761417
1100023003004;branca;0.37089531293853495
1100031001001;branca;0.46697291303659116
1100049003001;branca;0.44902729085034715
1100049003002;branca;0.4026443498068733
1100049003003;branca;0.46048426150121063
1100049003004;branca;0.42431621515849893
1100056001001;branca;0.4595797720797721
1100064001001;branca;0.412941746006132
1100072001001;branca;0.37692571037315986
1100080001001;branca;0.3210394581861013
1100098003001;branca;0.4574632095304835
1100106003001;branca;0.284651280110985
1100106003002;branca;0.17697760592879008
1100114003001;branca;0.31087378640776697
1100114003002;branca;0.3404234994427639
1100122003001;branca;0.4230232558139535
1100122003002;branca;0.44025784157363107
1100122003003;branca;0.4201888346746087
1100122003004;branca;0.34101071975497704
1100122003005;branca;0.37820819384664434
1100122003006;branca;0.3950982262063704
1100130003001;branca;0.33386415140564707
1100130003002;branca;0.3024037773644298
1100148001001;branca;0.41385730099627654
1100155003001;branca;0.3546475141203542
1100155003002;branca;0.37605460635095606
1100189003001;branca;0.4269318030161484
1100189003002;branca;0.3771501380335528
1100205004001;branca;0.22399900830544192
1100205004002;branca;0.29450508091832894
1100205004003;branca;0.23082155939298796
1100205004004;branca;0.26590960197886215
1100205004005;branca;0.26240208877284593
1100205004006;branca;0.23727213733703026
1100205004007;branca;0.3549423893268648
1100205004008;branca;0.24354466542138226
1100205004009;branca;0.31316725978647686
1100205004010;branca;0.33337497657567616
1100205004011;branca;0.2682000650971032
1100205004012;branca;0.22190011859269995
1100205004013;branca;0.2541023166023166
1100205004014;branca;0.4210775453997762
1100205004015;branca;0.334069366652305
1100205004016;branca;0.39204184041275003
1100205004017;branca;0.3832654780289204
1100205004018;branca;0.3221663277319919
1100205004019;branca;0.3491886209841666
1100205004020;branca;0.1882731080159735
1100205004021;branca;0.31766737003644735
1100205004022;branca;0.23724928366762177
1100254001001;branca;0.38930848898738185
1100262001001;branca;0.4218938480096502
1100288003001;branca;0.38372093023255816
1100288003002;branca;0.42663710777626196
1100296001001;branca;0.3786855728111636
1100304003001;branca;0.4358343583435834
1100304003002;branca;0.3569641688796521
1100304003003;branca;0.5340171420542363
1100320001001;branca;0.38569726956203043
1100338001001;branca;0.2781796127409138
1100346001001;branca;0.3674052894924946
1100379001001;branca;0.3672752808988764
1100403001001;branca;0.36743507440910417
1100452003001;branca;0.3860818777894099
1100452003002;branca;0.351271603203597
1100502001001;branca;0.41357421875
1100601001001;branca;0.3284518828451883
1100700001001;branca;0.3320963284642716
1100809001001;branca;0.24448715355047543
1100908001001;branca;0.3955244755244755
1100924001001;branca;0.3267076255872786
1100940001001;branca;0.30566776066649837
1101005001001;branca;0.3349894897764189
1101104001001;branca;0.2648752399232246
1101203001001;branca;0.4473531684698609
1101302001001;branca;0.3865970702138407
1101401001001;branca;0.3365978284011071
1101435001001;branca;0.34191912451621514
1101450001001;branca;0.45093555093555093
1101468001001;branca;0.3612931411096549
1101476001001;branca;0.44409761634506245
1101484001001;branca;0.4180790960451977
1101492001001;branca;0.3694510441415531
1101500001001;branca;0.4076956333765672
1101559001001;branca;0.33878887070376434
1101609001001;branca;0.3353366513287633
1101708001001;branca;0.37182056420533377
1101757001001;branca;0.29104798794921455
1101807001001;branca;0.33812423873325215
1100015001001;preta;0.04751557887832076
1100023003001;preta;0.0484006734006734
1100023003002;preta;0.09361900326036329
1100023003003;preta;0.10620290683141093
1100023003004;preta;0.07819955094021892
1100031001001;preta;0.0731823221923016
1100049003001;preta;0.04832611535024404
1100049003002;preta;0.06081014162622561
1100049003003;preta;0.061016949152542375
1100049003004;preta;0.057833630473540024
1100056001001;preta;0.06528964862298195
1100064001001;preta;0.07062557151309773
1100072001001;preta;0.0828483396097227
1100080001001;preta;0.07413133097762073
1100098003001;preta;0.05889978976874562
1100106003001;preta;0.07838315046033548
1100106003002;preta;0.07479458675688738
1100114003001;preta;0.09747572815533981
1100114003002;preta;0.07065753860850182
1100122003001;preta;0.06751937984496124
1100122003002;preta;0.06944444444444445
1100122003003;preta;0.05468601482795767
1100122003004;preta;0.07595712098009189
1100122003005;preta;0.052048461661087196
1100122003006;preta;0.07203255133829232
1100130003001;preta;0.08293011575917192
1100130003002;preta;0.06746315638861067
1100148001001;preta;0.06204085740163027
1100155003001;preta;0.09490272644864375
1100155003002;preta;0.07025056175011658
1100189003001;preta;0.04977979447484319
1100189003002;preta;0.05924824803567636
1100205004001;preta;0.08423205652658981
1100205004002;preta;0.06216284029607327
1100205004003;preta;0.05682888540031397
1100205004004;preta;0.07493816055767934
1100205004005;preta;0.07038729329852045
1100205004006;preta;0.0681965665742434
1100205004007;preta;0.09308671922377199
1100205004008;preta;0.08130974618173827
1100205004009;preta;0.06511137471991564
1100205004010;preta;0.06546317696295834
1100205004011;preta;0.07578387761744602
1100205004012;preta;0.08797821408178504
1100205004013;preta;0.08669160231660232
1100205004014;preta;0.05387726998881143
1100205004015;preta;0.061772942697113316
1100205004016;preta;0.0751289843805216
1100205004017;preta;0.06886143478871262
1100205004018;preta;0.05116129722787113
1100205004019;preta;0.06530451350108403
1100205004020;preta;0.07353657348787378
1100205004021;preta;0.08792122258456422
1100205004022;preta;0.06257879656160459
1100254001001;preta;0.04784948668083759
1100262001001;preta;0.06996381182147166
1100288003001;preta;0.06053075768942236
1100288003002;preta;0.0640518417462483
1100296001001;preta;0.05660589691649786
1100304003001;preta;0.05781057810578106
1100304003002;preta;0.07012277258207289
1100304003003;preta;0.0445412392862161
1100320001001;preta;0.06290086127909107
1100338001001;preta;0.047171930455096815
1100346001001;preta;0.06802477960447939
1100379001001;preta;0.06803995006242197
1100403001001;preta;0.06623869273416982
1100452003001;preta;0.06705603614524216
1100452003002;preta;0.06456372066882113
1100502001001;preta;0.07548828125
1100601001001;preta;0.11122733612273361
1100700001001;preta;0.11677852348993288
1100809001001;preta;0.060843617236496055
1100908001001;preta;0.06153846153846154
1100924001001;preta;0.05975183712805686
1100940001001;preta;0.09107548598838677
1101005001001;preta;0.06554557615134722
1101104001001;preta;0.07293666026871401
1101203001001;preta;0.05873261205564142
1101302001001;preta;0.05253409664926755
1101401001001;preta;0.06443829394649067
1101435001001;preta;0.06592819965300947
1101450001001;preta;0.079002079002079
1101468001001;preta;0.17780690257754478
1101476001001;preta;0.06753688989784336
1101484001001;preta;0.07676969092721835
1101492001001;preta;0.044454170313867704
1101500001001;preta;0.08309554690877648
1101559001001;preta;0.0797872340425532
1101609001001;preta;0.05737627946286036
1101708001001;preta;0.08347464159087406
1101757001001;preta;0.08478588336561223
1101807001001;preta;0.05712545676004872
1100015001001;amarela;0.007338471630042637
1100023003001;amarela;0.013167388167388168
1100023003002;amarela;0.016709361900326035
1100023003003;amarela;0.018283755311930865
1100023003004;amarela;0.015261015997754701
1100031001001;amarela;0.01393948994139078
1100049003001;amarela;0.007767924658005087
1100049003002;amarela;0.009656333564425077
1100049003003;amarela;0.018692493946731236
1100049003004;amarela;0.013523503065617254
1100056001001;amarela;0.010090218423551758
1100064001001;amarela;0.013017051261363025
1100072001001;amarela;0.014264521282665754
1100080001001;amarela;0.009275618374558304
1100098003001;amarela;0.01524176594253679
1100106003001;amarela;0.012801109849918023
1100106003002;amarela;0.01687610762042855
1100114003001;amarela;0.012038834951456311
1100114003002;amarela;0.012991561853208088
1100122003001;amarela;0.023565891472868215
1100122003002;amarela;0.02126528442317916
1100122003003;amarela;0.014384386287307522
1100122003004;amarela;0.016110260336906584
1100122003005;amarela;0.007970667941973538
1100122003006;amarela;0.013764384258376249
1100130003001;amarela;0.012617137257303852
1100130003002;amarela;0.00958649306052368
1100148001001;amarela;0.00940927845426185
1100155003001;amarela;0.011226553238965205
1100155003002;amarela;0.009878322804934921
1100189003001;amarela;0.014146536767649806
1100189003002;amarela;0.013962624761095775
1100205004001;amarela;0.02658981033841577
1100205004002;amarela;0.025090954710826747
1100205004003;amarela;0.009000523286237572
1100205004004;amarela;0.020800539689678436
1100205004005;amarela;0.02012619669277633
1100205004006;amarela;0.023420447171258334
1100205004007;amarela;0.019708914493632504
1100205004008;amarela;0.013569937369519834
1100205004009;amarela;0.016080137076578356
1100205004010;amarela;0.016178399650196764
1100205004011;amarela;0.01735922751437561
1100205004012;amarela;0.02459700443624544
1100205004013;amarela;0.024432915057915058
1100205004014;amarela;0.016309493071692917
1100205004015;amarela;0.02789745799224472
1100205004016;amarela;0.01639691851014206
1100205004017;amarela;0.015793907061631335
1100205004018;amarela;0.009133397552534875
1100205004019;amarela;0.009854805860324552
1100205004020;amarela;0.006087464692704782
1100205004021;amarela;0.017935929407251104
1100205004022;amarela;0.01679083094555874
1100254001001;amarela;0.01139704219619194
