AREAP;gender;age;num_people
1100122003001;2;1;77
1100122003002;2;1;136
1100122003003;2;1;152
1100122003004;2;1;144
1100122003005;2;1;211
1100122003006;2;1;196
1100205004001;2;1;140
1100205004002;2;1;156
1100205004003;2;1;186
1100205004004;2;1;141
1100205004005;2;1;163
1100205004006;2;1;157
1100205004007;2;1;118
1100205004008;2;1;185
1100205004009;2;1;97
1100205004010;2;1;135
1100205004011;2;1;146
1100205004012;2;1;239
1100205004013;2;1;155
1100205004014;2;1;160
1100205004015;2;1;137
1100205004016;2;1;99
1100205004017;2;1;84
1100205004018;2;1;204
1100205004019;2;1;113
1100205004020;2;1;161
1100205004021;2;1;262
1100205004022;2;1;377
1100809001001;2;1;200
1100122003001;1;1;108
1100122003002;1;1;111
1100122003003;1;1;114
1100122003004;1;1;154
1100122003005;1;1;212
1100122003006;1;1;213
1100205004001;1;1;141
1100205004002;1;1;173
1100205004003;1;1;160
1100205004004;1;1;150
1100205004005;1;1;154
1100205004006;1;1;148
1100205004007;1;1;104
1100205004008;1;1;161
1100205004009;1;1;106
1100205004010;1;1;138
1100205004011;1;1;155
1100205004012;1;1;230
1100205004013;1;1;151
1100205004014;1;1;133
1100205004015;1;1;123
1100205004016;1;1;107
1100205004017;1;1;91
1100205004018;1;1;222
1100205004019;1;1;93
1100205004020;1;1;160
1100205004021;1;1;269
1100205004022;1;1;337
1100809001001;1;1;181
1100122003001;2;2;91
1100122003002;2;2;123
1100122003003;2;2;140
1100122003004;2;2;147
1100122003005;2;2;196
1100122003006;2;2;235
1100205004001;2;2;149
1100205004002;2;2;186
1100205004003;2;2;180
1100205004004;2;2;156
1100205004005;2;2;160
1100205004006;2;2;181
1100205004007;2;2;115
1100205004008;2;2;184
1100205004009;2;2;123
1100205004010;2;2;113
1100205004011;2;2;153
1100205004012;2;2;256
1100205004013;2;2;178
1100205004014;2;2;176
1100205004015;2;2;132
1100205004016;2;2;90
1100205004017;2;2;90
1100205004018;2;2;225
1100205004019;2;2;112
1100205004020;2;2;161
1100205004021;2;2;243
1100205004022;2;2;341
1100809001001;2;2;175
1100122003001;1;2;98
1100122003002;1;2;97
1100122003003;1;2;121
1100122003004;1;2;141
1100122003005;1;2;193
1100122003006;1;2;202
1100205004001;1;2;141
1100205004002;1;2;178
1100205004003;1;2;139
1100205004004;1;2;154
1100205004005;1;2;173
1100205004006;1;2;174
1100205004007;1;2;108
1100205004008;1;2;164
1100205004009;1;2;112
1100205004010;1;2;102
1100205004011;1;2;146
1100205004012;1;2;256
1100205004013;1;2;151
1100205004014;1;2;142
1100205004015;1;2;140
1100205004016;1;2;75
1100205004017;1;2;112
1100205004018;1;2;232
1100205004019;1;2;88
1100205004020;1;2;145
1100205004021;1;2;280
1100205004022;1;2;338
1100809001001;1;2;182
1100122003001;2;3;94
1100122003002;2;3;109
1100122003003;2;3;135
1100122003004;2;3;142
1100122003005;2;3;202
1100122003006;2;3;257
1100205004001;2;3;157
1100205004002;2;3;164
1100205004003;2;3;154
1100205004004;2;3;146
1100205004005;2;3;179
1100205004006;2;3;177
1100205004007;2;3;124
1100205004008;2;3;172
1100205004009;2;3;105
1100205004010;2;3;129
1100205004011;2;3;159
1100205004012;2;3;228
1100205004013;2;3;173
1100205004014;2;3;140
1100205004015;2;3;137
1100205004016;2;3;96
1100205004017;2;3;68
1100205004018;2;3;226
1100205004019;2;3;116
1100205004020;2;3;161
1100205004021;2;3;242
1100205004022;2;3;320
1100809001001;2;3;201
1100122003001;1;3;96
1100122003002;1;3;125
1100122003003;1;3;120
1100122003004;1;3;137
1100122003005;1;3;228
1100122003006;1;3;243
1100205004001;1;3;139
1100205004002;1;3;187
1100205004003;1;3;161
1100205004004;1;3;138
1100205004005;1;3;173
1100205004006;1;3;144
1100205004007;1;3;104
1100205004008;1;3;164
1100205004009;1;3;105
1100205004010;1;3;125
1100205004011;1;3;148
1100205004012;1;3;262
1100205004013;1;3;151
1100205004014;1;3;148
1100205004015;1;3;152
1100205004016;1;3;92
1100205004017;1;3;81
1100205004018;1;3;195
1100205004019;1;3;90
1100205004020;1;3;161
1100205004021;1;3;250
1100205004022;1;3;342
1100809001001;1;3;201
1100122003001;2;4;109
1100122003002;2;4;144
1100122003003;2;4;140
1100122003004;2;4;169
1100122003005;2;4;199
1100122003006;2;4;228
1100205004001;2;4;160
1100205004002;2;4;148
1100205004003;2;4;161
1100205004004;2;4;173
1100205004005;2;4;159
1100205004006;2;4;173
1100205004007;2;4;115
1100205004008;2;4;169
1100205004009;2;4;108
1100205004010;2;4;119
1100205004011;2;4;132
1100205004012;2;4;260
1100205004013;2;4;187
1100205004014;2;4;165
1100205004015;2;4;159
1100205004016;2;4;84
1100205004017;2;4;82
1100205004018;2;4;200
1100205004019;2;4;104
1100205004020;2;4;165
1100205004021;2;4;261
1100205004022;2;4;337
1100809001001;2;4;210
1100122003001;1;4;84
1100122003002;1;4;129
1100122003003;1;4;121
1100122003004;1;4;147
1100122003005;1;4;213
1100122003006;1;4;226
1100205004001;1;4;118
1100205004002;1;4;173
1100205004003;1;4;182
1100205004004;1;4;145
1100205004005;1;4;164
1100205004006;1;4;151
1100205004007;1;4;107
1100205004008;1;4;156
1100205004009;1;4;100
1100205004010;1;4;102
1100205004011;1;4;135
1100205004012;1;4;210
1100205004013;1;4;173
1100205004014;1;4;148
1100205004015;1;4;160
1100205004016;1;4;87
1100205004017;1;4;90
1100205004018;1;4;205
1100205004019;1;4;77
1100205004020;1;4;155
1100205004021;1;4;239
1100205004022;1;4;313
1100809001001;1;4;182
1100122003001;2;5;111
1100122003002;2;5;128
1100122003003;2;5;139
1100122003004;2;5;152
1100122003005;2;5;217
1100122003006;2;5;223
1100205004001;2;5;148
1100205004002;2;5;199
1100205004003;2;5;180
1100205004004;2;5;183
1100205004005;2;5;189
1100205004006;2;5;181
1100205004007;2;5;123
1100205004008;2;5;195
1100205004009;2;5;127
1100205004010;2;5;116
1100205004011;2;5;149
1100205004012;2;5;220
1100205004013;2;5;165
1100205004014;2;5;173
1100205004015;2;5;129
1100205004016;2;5;82
1100205004017;2;5;74
1100205004018;2;5;226
1100205004019;2;5;99
1100205004020;2;5;179
1100205004021;2;5;248
1100205004022;2;5;326
1100809001001;2;5;213
1100122003001;1;5;101
1100122003002;1;5;107
1100122003003;1;5;138
1100122003004;1;5;142
1100122003005;1;5;224
1100122003006;1;5;257
1100205004001;1;5;158
1100205004002;1;5;176
1100205004003;1;5;173
1100205004004;1;5;162
1100205004005;1;5;162
1100205004006;1;5;168
1100205004007;1;5;110
1100205004008;1;5;188
1100205004009;1;5;116
1100205004010;1;5;112
1100205004011;1;5;136
1100205004012;1;5;272
1100205004013;1;5;170
1100205004014;1;5;151
1100205004015;1;5;146
1100205004016;1;5;103
1100205004017;1;5;95
1100205004018;1;5;226
1100205004019;1;5;105
1100205004020;1;5;175
1100205004021;1;5;250
1100205004022;1;5;324
1100809001001;1;5;197
1100122003001;2;6;83
1100122003002;2;6;134
1100122003003;2;6;142
1100122003004;2;6;151
1100122003005;2;6;232
1100122003006;2;6;270
1100205004001;2;6;136
1100205004002;2;6;183
1100205004003;2;6;180
1100205004004;2;6;125
1100205004005;2;6;170
1100205004006;2;6;173
1100205004007;2;6;114
1100205004008;2;6;169
1100205004009;2;6;111
1100205004010;2;6;111
1100205004011;2;6;140
1100205004012;2;6;235
1100205004013;2;6;176
1100205004014;2;6;148
1100205004015;2;6;142
1100205004016;2;6;91
1100205004017;2;6;109
1100205004018;2;6;216
1100205004019;2;6;96
1100205004020;2;6;170
1100205004021;2;6;271
1100205004022;2;6;351
1100809001001;2;6;213
1100122003001;1;6;104
1100122003002;1;6;112
1100122003003;1;6;128
1100122003004;1;6;133
1100122003005;1;6;200
1100122003006;1;6;223
1100205004001;1;6;154
1100205004002;1;6;177
1100205004003;1;6;153
1100205004004;1;6;168
1100205004005;1;6;165
1100205004006;1;6;166
1100205004007;1;6;131
1100205004008;1;6;170
1100205004009;1;6;95
1100205004010;1;6;100
1100205004011;1;6;142
1100205004012;1;6;218
1100205004013;1;6;150
1100205004014;1;6;162
1100205004015;1;6;141
1100205004016;1;6;87
1100205004017;1;6;92
1100205004018;1;6;228
1100205004019;1;6;105
1100205004020;1;6;153
1100205004021;1;6;242
1100205004022;1;6;335
1100809001001;1;6;182
1100122003001;2;7;93
1100122003002;2;7;102
1100122003003;2;7;131
1100122003004;2;7;151
1100122003005;2;7;233
1100122003006;2;7;252
1100205004001;2;7;151
1100205004002;2;7;195
1100205004003;2;7;168
1100205004004;2;7;164
1100205004005;2;7;175
1100205004006;2;7;162
1100205004007;2;7;129
1100205004008;2;7;162
1100205004009;2;7;103
1100205004010;2;7;109
1100205004011;2;7;143
1100205004012;2;7;241
1100205004013;2;7;170
1100205004014;2;7;168
1100205004015;2;7;143
1100205004016;2;7;96
1100205004017;2;7;74
1100205004018;2;7;225
1100205004019;2;7;112
1100205004020;2;7;206
1100205004021;2;7;253
1100205004022;2;7;317
1100809001001;2;7;214
1100122003001;1;7;101
1100122003002;1;7;126
1100122003003;1;7;133
1100122003004;1;7;132
1100122003005;1;7;207
1100122003006;1;7;246
1100205004001;1;7;148
1100205004002;1;7;192
1100205004003;1;7;147
1100205004004;1;7;153
1100205004005;1;7;148
1100205004006;1;7;165
1100205004007;1;7;105
1100205004008;1;7;173
1100205004009;1;7;101
1100205004010;1;7;125
1100205004011;1;7;126
1100205004012;1;7;225
1100205004013;1;7;161
1100205004014;1;7;151
1100205004015;1;7;137
1100205004016;1;7;88
1100205004017;1;7;101
1100205004018;1;7;202
1100205004019;1;7;87
1100205004020;1;7;166
1100205004021;1;7;245
1100205004022;1;7;282
1100809001001;1;7;218
1100122003001;2;8;115
1100122003002;2;8;124
1100122003003;2;8;117
1100122003004;2;8;177
1100122003005;2;8;235
1100122003006;2;8;241
1100205004001;2;8;132
1100205004002;2;8;175
1100205004003;2;8;173
1100205004004;2;8;151
1100205004005;2;8;153
1100205004006;2;8;167
1100205004007;2;8;107
1100205004008;2;8;167
1100205004009;2;8;105
1100205004010;2;8;99
1100205004011;2;8;157
1100205004012;2;8;236
1100205004013;2;8;189
1100205004014;2;8;171
1100205004015;2;8;151
1100205004016;2;8;88
1100205004017;2;8;79
1100205004018;2;8;202
1100205004019;2;8;110
1100205004020;2;8;204
1100205004021;2;8;293
1100205004022;2;8;308
1100809001001;2;8;201
1100122003001;1;8;97
1100122003002;1;8;134
1100122003003;1;8;125
1100122003004;1;8;140
1100122003005;1;8;209
1100122003006;1;8;240
1100205004001;1;8;157
1100205004002;1;8;189
1100205004003;1;8;172
1100205004004;1;8;179
1100205004005;1;8;186
1100205004006;1;8;142
1100205004007;1;8;131
1100205004008;1;8;154
1100205004009;1;8;142
1100205004010;1;8;101
1100205004011;1;8;137
1100205004012;1;8;241
1100205004013;1;8;159
1100205004014;1;8;135
1100205004015;1;8;115
1100205004016;1;8;87
1100205004017;1;8;84
1100205004018;1;8;236
1100205004019;1;8;96
1100205004020;1;8;197
1100205004021;1;8;261
1100205004022;1;8;326
1100809001001;1;8;207
1100122003001;2;9;92
1100122003002;2;9;142
1100122003003;2;9;142
1100122003004;2;9;164
1100122003005;2;9;251
1100122003006;2;9;256
1100205004001;2;9;171
1100205004002;2;9;216
1100205004003;2;9;165
1100205004004;2;9;181
1100205004005;2;9;184
1100205004006;2;9;181
1100205004007;2;9;130
1100205004008;2;9;217
1100205004009;2;9;118
1100205004010;2;9;126
1100205004011;2;9;157
1100205004012;2;9;250
1100205004013;2;9;158
1100205004014;2;9;181
1100205004015;2;9;155
1100205004016;2;9;108
1100205004017;2;9;80
1100205004018;2;9;221
1100205004019;2;9;105
1100205004020;2;9;225
1100205004021;2;9;314
1100205004022;2;9;383
1100809001001;2;9;233
1100122003001;1;9;115
1100122003002;1;9;137
1100122003003;1;9;137
1100122003004;1;9;153
1100122003005;1;9;236
1100122003006;1;9;248
1100205004001;1;9;171
1100205004002;1;9;200
1100205004003;1;9;163
1100205004004;1;9;177
1100205004005;1;9;168
1100205004006;1;9;170
1100205004007;1;9;160
1100205004008;1;9;212
1100205004009;1;9;108
1100205004010;1;9;116
1100205004011;1;9;133
1100205004012;1;9;244
1100205004013;1;9;182
1100205004014;1;9;151
1100205004015;1;9;174
1100205004016;1;9;74
1100205004017;1;9;98
1100205004018;1;9;243
1100205004019;1;9;112
1100205004020;1;9;200
1100205004021;1;9;244
1100205004022;1;9;368
1100809001001;1;9;194
1100122003001;2;10;125
1100122003002;2;10;137
1100122003003;2;10;163
1100122003004;2;10;155
1100122003005;2;10;212
1100122003006;2;10;316
1100205004001;2;10;197
1100205004002;2;10;206
1100205004003;2;10;180
1100205004004;2;10;186
1100205004005;2;10;217
1100205004006;2;10;197
1100205004007;2;10;144
1100205004008;2;10;215
1100205004009;2;10;131
1100205004010;2;10;148
1100205004011;2;10;207
1100205004012;2;10;282
1100205004013;2;10;206
1100205004014;2;10;182
1100205004015;2;10;159
1100205004016;2;10;116
1100205004017;2;10;125
1100205004018;2;10;272
1100205004019;2;10;130
1100205004020;2;10;220
1100205004021;2;10;267
1100205004022;2;10;405
1100809001001;2;10;230
1100122003001;1;10;88
1100122003002;1;10;144
1100122003003;1;10;133
1100122003004;1;10;152
1100122003005;1;10;236
1100122003006;1;10;269
1100205004001;1;10;180
1100205004002;1;10;196
1100205004003;1;10;175
1100205004004;1;10;181
1100205004005;1;10;207
1100205004006;1;10;194
1100205004007;1;10;147
1100205004008;1;10;214
1100205004009;1;10;139
1100205004010;1;10;151
1100205004011;1;10;174
1100205004012;1;10;283
1100205004013;1;10;199
1100205004014;1;10;177
1100205004015;1;10;195
1100205004016;1;10;114
1100205004017;1;10;100
1100205004018;1;10;223
1100205004019;1;10;125
1100205004020;1;10;217
1100205004021;1;10;311
1100205004022;1;10;372
1100809001001;1;10;217
1100122003001;2;11;104
1100122003002;2;11;118
1100122003003;2;11;140
1100122003004;2;11;164
1100122003005;2;11;247
1100122003006;2;11;264
1100205004001;2;11;178
1100205004002;2;11;199
